name;v_nom;x;y;wkt_srid_4326;;;;
GB5;380;-6.097540943;54.66877875;"SRID=4326;POINT(-6.097540943 54.66877875)";;"SRID=4326;POINT(-6.097540943 54.66877875)";"SRID=4326;POINT(";-6.097540943 54.66877875)
HU0;380;18.86277364;47.29836191;"SRID=4326;POINT(18.86277364 47.29836191)";;"SRID=4326;POINT(18.86277364 47.29836191)";"SRID=4326;POINT(";18.86277364 47.29836191)
IE0;380;-7.631337825;52.79981394;"SRID=4326;POINT(-7.631337825 52.79981394)";;"SRID=4326;POINT(-7.631337825 52.79981394)";"SRID=4326;POINT(";-7.631337825 52.79981394)
IT0;380;11.63804637;45.0715076;"SRID=4326;POINT(11.63804637 45.0715076)";;"SRID=4326;POINT(11.63804637 45.0715076)";"SRID=4326;POINT(";11.63804637 45.0715076)
IT1;380;13.49337764;41.8233588;"SRID=4326;POINT(13.49337764 41.8233588)";;"SRID=4326;POINT(13.49337764 41.8233588)";"SRID=4326;POINT(";13.49337764 41.8233588)
IT2;380;8.88018764;45.19082504;"SRID=4326;POINT(8.88018764 45.19082504)";;"SRID=4326;POINT(8.88018764 45.19082504)";"SRID=4326;POINT(";8.88018764 45.19082504)
IT3;380;15.67794806;38.91918475;"SRID=4326;POINT(15.67794806 38.91918475)";;"SRID=4326;POINT(15.67794806 38.91918475)";"SRID=4326;POINT(";15.67794806 38.91918475)
IT4;380;8.7459755;39.9681955;"SRID=4326;POINT(8.7459755 39.9681955)";;"SRID=4326;POINT(8.7459755 39.9681955)";"SRID=4326;POINT(";8.7459755 39.9681955)
LT0;380;23.00728207;55.16155858;"SRID=4326;POINT(23.00728207 55.16155858)";;"SRID=4326;POINT(23.00728207 55.16155858)";"SRID=4326;POINT(";23.00728207 55.16155858)
LU0;380;6.130510691;49.6773404;"SRID=4326;POINT(6.130510691 49.6773404)";;"SRID=4326;POINT(6.130510691 49.6773404)";"SRID=4326;POINT(";6.130510691 49.6773404)
LV0;380;23.72468009;56.83880232;"SRID=4326;POINT(23.72468009 56.83880232)";;"SRID=4326;POINT(23.72468009 56.83880232)";"SRID=4326;POINT(";23.72468009 56.83880232)
NL0;380;5.551448176;52.37428606;"SRID=4326;POINT(5.551448176 52.37428606)";;"SRID=4326;POINT(5.551448176 52.37428606)";"SRID=4326;POINT(";5.551448176 52.37428606)
NO0;380;8.623107409;60.9991011;"SRID=4326;POINT(8.623107409 60.9991011)";;"SRID=4326;POINT(8.623107409 60.9991011)";"SRID=4326;POINT(";8.623107409 60.9991011)
PL0;380;19.08127436;51.58862009;"SRID=4326;POINT(19.08127436 51.58862009)";;"SRID=4326;POINT(19.08127436 51.58862009)";"SRID=4326;POINT(";19.08127436 51.58862009)
PT0;380;-8.28212463;40.31346561;"SRID=4326;POINT(-8.28212463 40.31346561)";;"SRID=4326;POINT(-8.28212463 40.31346561)";"SRID=4326;POINT(";-8.28212463 40.31346561)
SE0;380;17.51822784;64.09820586;"SRID=4326;POINT(17.51822784 64.09820586)";;"SRID=4326;POINT(17.51822784 64.09820586)";"SRID=4326;POINT(";17.51822784 64.09820586)
SE1;380;15.40462358;59.42929938;"SRID=4326;POINT(15.40462358 59.42929938)";;"SRID=4326;POINT(15.40462358 59.42929938)";"SRID=4326;POINT(";15.40462358 59.42929938)
SI0;380;14.54677674;46.02597355;"SRID=4326;POINT(14.54677674 46.02597355)";;"SRID=4326;POINT(14.54677674 46.02597355)";"SRID=4326;POINT(";14.54677674 46.02597355)
SK0;380;19.02788802;48.65333338;"SRID=4326;POINT(19.02788802 48.65333338)";;"SRID=4326;POINT(19.02788802 48.65333338)";"SRID=4326;POINT(";19.02788802 48.65333338)
