,AT1 0,BE1 0,CH1 0,CZ1 0,DE1 0,DE1 1,DE1 2,DE1 3,DE1 4,DE1 5,DE1 6,DK1 0,DK2 0,EE6 0,ES1 0,ES1 1,ES1 2,ES4 0,FI2 0,FR1 0,FR1 1,FR1 2,FR1 3,FR1 4,FR1 5,FR1 6,GB0 0,GB0 1,GB0 2,GB0 3,GB0 4,GB5 0,HU1 0,IE5 0,IT1 0,IT1 1,IT1 2,IT1 3,IT3 0,LT6 0,LU1 0,LV6 0,NL1 0,NO2 0,PL1 0,PT1 0,SE2 0,SE2 1,SI1 0,SK1 0
0,5742.7030205800065,8033.999999999999,7399.1969623460345,5454.333333333332,6664.623937915395,4554.043902526159,7997.1229647480095,7804.948246322878,5309.863842391434,7186.093512512078,3506.9143988692285,1720.3397045067397,1313.8602954932603,786.5333333333333,8526.55007138147,7800.230941965851,3991.7183623433684,439.16729097597505,10099.697754937071,5757.913947823665,5920.375270182984,16407.416068249466,4438.6677794699435,8860.129263557323,6367.424837472395,5980.137034378618,13864.228594441267,7515.354270871751,3259.9488410818726,3690.0131928524424,3179.81793119629,774.8417550302132,3630.7066666666665,2842.992081192831,7728.783307137633,5093.146085787496,6138.095108194865,3518.5723664645716,1317.387452563582,1025.3333333333333,531.3253444195772,616.6666666666669,10952.666666666666,16043.322245062931,13135.374133333331,4267.0,2093.2994745224732,13562.367192144195,1476.2969794199944,2658.616666666667
1,5629.863289256496,7615.333333333332,7227.274231745551,5290.333333333332,6459.4365700732915,4413.836099340043,7750.911231463096,7564.653099631112,5146.574929398872,6964.85137992736,3398.945135868829,1658.2361706921247,1266.4304959745418,783.5666666666666,7760.7447536797945,7099.659399589299,3633.2053502741496,399.7238297900899,10277.29983562529,5351.67105765958,5502.400259535535,15249.062147618393,4125.3004458605155,8234.609350668645,5920.514991126892,5557.942878341554,11945.233018221532,6475.128231515381,2808.7281069368105,3179.265772248357,2739.688391959147,667.5932420643004,3401.236666666666,2464.92990372114,7085.570473883058,4665.7825601506165,5623.774834663952,3223.3305912606515,1211.058927123039,1010.6666666666666,517.5430379927512,613.3333333333335,10520.666666666666,15894.540164374712,12482.993199999997,3850.6666666666665,2078.0121085046053,13463.32122482873,1438.470044076839,2581.0066666666667
2,6516.727623873511,7608.999999999999,7192.357489921331,5484.666666666665,6626.031437781644,4527.673031258017,7950.814430018712,7759.752527997869,5278.596261832879,7144.481364936124,3486.607087358754,1854.5067728420872,1416.326560491246,817.8000000000001,7992.690794835996,7311.847526316616,3741.791268823275,411.6704100241127,10621.955802852348,5437.61793258851,5590.6833744678415,15493.725320540989,4191.488719380069,8366.729321851746,6014.3423780552885,5647.1171453472125,13017.51113803659,7056.375856828298,3060.8569426810554,3464.6563644166786,2985.619795166421,727.5205474010803,3679.0533333333333,2475.076022136544,7702.466575192387,5090.284767761773,6134.319678132335,3516.5956404159965,1299.1992212933037,1070.6666666666667,533.0285605338814,654.6666666666669,11276.333333333334,16719.147530480986,12563.605399999999,3797.0,2177.9371073735856,14110.729559293082,1622.939042793156,2706.2999999999997
3,7335.515095791219,8210.666666666666,7553.509610163373,6373.666666666665,7662.285713473689,5235.762116200161,9194.253361105235,8973.311022393129,6101.706070530129,8261.816746081833,4031.88242084605,2266.6466882088885,1731.0866451244444,893.0,9196.509917530997,8413.121440240206,4305.36116013609,473.67414875937146,10875.46974153389,6010.285016631659,6179.491473936211,17125.517062018585,4632.934306885945,9247.909252960748,6644.777872621374,6241.868822577304,16226.386785840137,8795.804570091565,3815.372087752103,4318.709901832059,3721.588641493428,906.857668228322,4205.37,2995.8003447623873,8923.151789661482,5910.896104113446,7121.9529722429215,4083.5105340908194,1491.9393980310415,1207.6666666666667,591.6981667682008,735.0000000000001,12314.666666666666,17603.503591799443,14068.36733333333,4750.666666666667,2317.9301588666567,15017.73650780001,1889.4849042087815,2993.41
4,7187.548946727883,8792.33333333333,7542.286177343929,6561.333333333332,7681.055785454384,5248.588005950273,9216.776248380664,8995.292673834201,6116.567203692699,8282.055471289192,4041.759202538477,2298.208739782354,1755.191260217646,954.3333333333334,9630.00529315115,8809.690276850999,4508.302729278079,496.00170071977067,11274.918789829375,5860.421200872118,6025.02323708178,16697.43192961764,4517.125231516961,9016.740030878353,6480.008382885889,6085.841344302299,18029.855996161943,9773.40746662862,4239.428667753432,4798.70957391326,4135.22173288958,1007.6496624276223,4216.363333333334,3461.716900225548,8671.897211493995,5743.545683173065,6920.641859555978,3967.8974028907955,1450.7945820193363,1257.6666666666667,608.7443352279744,780.6666666666666,12869.0,18031.22121017063,15173.129233333331,4669.333333333333,2410.233759516816,15615.766240483184,1876.7843866054518,2995.66
5,7772.8856246402,9154.666666666664,7578.691431819712,6851.666666666665,8396.324143613849,5737.342290586604,10075.052584192017,9832.944215717467,6684.028284971424,9053.289580843857,4418.132262391809,2472.61269901585,1888.38730098415,995.6333333333333,9555.519669544909,8741.54957972015,4473.432162754629,492.16525464697935,11527.55491476345,6274.844348316737,6451.089959455455,17878.210793759496,4836.5591434226735,9654.369583542548,6934.49014573703,6516.208891848718,20090.21052431552,10890.259666315897,4723.887670323905,5347.080176651895,4607.772529972586,1122.7984215312515,4566.253333333333,3612.744344222286,9909.606518375234,6583.599308673883,7931.136761017985,4548.243896639273,1638.6549784014194,1383.0,653.6067433394725,838.6666666666669,13985.0,18224.13175190322,16763.945599999995,5087.333333333333,2521.301153442552,16335.365513224117,1988.7810420264677,3115.7999999999997
6,7024.040134947809,9018.33333333333,7151.779546466267,6708.999999999999,8083.912923737521,5523.866718039361,9700.17907832105,9467.079100833278,6434.844876473188,8716.433929076737,4253.741980875748,2208.927822636815,1687.0055106965183,909.6333333333333,11099.042527841173,10153.59016566881,5196.034913524574,571.6657262987734,11140.535598752256,6365.076661307077,6544.162787158442,18136.14792427592,4906.338396023436,9793.657592619678,7030.505390522058,6610.221220196237,19286.2663197395,10454.467262126496,4534.853209434183,5133.107599599019,4423.38461542124,1077.867718450533,4469.183333333333,3666.76327522903,10377.413282170444,6904.287028941489,8316.178560975126,4769.789269929631,1706.6503668759376,1272.0,634.5061651813756,782.3333333333335,13518.666666666666,17612.824401247748,16512.92513333333,5732.0,2393.9658627339536,15510.367470599378,1944.959865052192,3085.35
7,6243.7984665676095,8989.666666666664,7566.454938412906,6016.999999999999,7185.750602054165,4910.138069184763,8622.44167022177,8415.240241981106,5723.747055137695,7747.9954255457515,3781.130411524636,1805.9730312608544,1379.260302072479,777.5666666666666,10144.96931959063,9280.788000948658,4749.3839805550915,522.5253655722853,10599.170697095455,6254.93733427172,6431.386822830612,17823.60655911216,4821.787161293156,9624.882882205753,6913.481513734775,6496.306866783337,15180.359981188485,8228.786941938994,3569.415823663098,4040.306189505109,3481.6780855410475,848.3974921280882,3863.816666666667,3189.9421527018494,8644.667546878247,5705.614877550014,6875.056799387428,3941.693111426344,1465.0656121017698,1022.3333333333334,579.2260983618988,619.3333333333334,11721.666666666666,16270.955969571214,14178.571399999999,5043.333333333333,2139.42899005744,13861.237676609227,1643.2015334323921,2786.056666666667
8,5599.088817077357,7946.999999999999,7373.652695019385,5764.999999999999,6368.682301752778,4351.822259380974,7642.011907195762,7458.370678601357,5075.049236011786,6866.996097335854,3351.1903858188803,1628.6396600549708,1243.8270066116957,722.4666666666667,8179.041775953819,7482.324527778172,3829.0317854380087,421.2685774966658,9981.282032165187,5646.339144906514,5805.5673064978955,16089.243327136806,4352.593099068847,8688.313567370174,6244.867138047451,5864.170170093414,13414.41633206003,7271.525450238148,3154.1827716994017,3570.2940774911276,3076.6516361623712,749.7027203956192,3378.5499999999997,2649.1603452866366,7055.510490840291,4630.71307255329,5581.82864038716,3199.1030258447768,1220.3751662740294,940.3333333333334,525.4580898625807,554.0000000000001,10638.666666666666,15471.097967834816,12680.272099999996,4139.333333333333,2002.3329612791247,12973.00037205421,1445.2445162559782,2544.7166666666667
9,6699.509337422339,8330.333333333332,7021.771409829423,6580.333333333332,7345.587147347541,5019.35693153543,8814.23531362597,8602.424991714493,5848.837323074567,7920.338287182795,3865.2361446277378,1829.4650253361942,1397.2016413304725,872.9333333333334,8507.791743377693,7783.070509048707,3982.9366204063967,438.20112716720223,10928.672099375826,5879.055430001998,6044.073231056077,16750.226079138545,4531.4075346808595,9045.249272502328,6496.490667579205,6105.083633730154,13214.5667803653,7163.193409141898,3107.1913859183574,3517.1034165527412,3030.815318354164,738.5335611220024,3876.5766666666664,2407.472795212205,7834.044991535148,5160.49711008529,6218.497457308858,3565.1014565310434,1337.235977354122,1192.6666666666667,614.4754762250799,709.0,11317.333333333334,16404.114567290842,14440.13603333333,4167.333333333333,2231.86629944828,14460.13370055172,1582.1573292443284,2814.263333333334
10,8765.440065731027,10093.999999999998,6889.099622395101,8446.666666666666,9725.828097862783,6645.813561078962,11670.372395676095,11389.927723393108,7736.414653593248,10486.819788922752,5117.715105166209,2610.162765693503,1993.437234306497,1129.8,12006.151455031164,10983.428618778888,5620.699441498572,618.3871513580419,11905.255781068021,6913.4166380114175,7105.8654666291,19692.821133006626,5327.462306456107,10634.272945646568,7627.367782153652,7177.593868468983,18177.35869048173,9853.363952932214,4274.111537711091,4837.967934687803,4169.052083356096,1015.893269041571,5036.08,3099.679198456163,11717.809152349078,7809.343930616432,9404.378300364324,5395.042924679084,1914.5361508149624,1572.6666666666667,857.4277193820811,956.6666666666669,14846.666666666666,19322.310885598647,19381.29253333333,5544.0,2616.4572072272404,16951.87612610609,2013.8932676023062,3446.8233333333337
