,snapshot,objective,generators,stores
103,2018-01-13 21:00:00,3.0,3.0,3.0
104,2018-01-14 00:00:00,3.0,3.0,3.0
105,2018-01-14 03:00:00,3.0,3.0,3.0
106,2018-01-14 06:00:00,3.0,3.0,3.0
107,2018-01-14 09:00:00,3.0,3.0,3.0
108,2018-01-14 12:00:00,3.0,3.0,3.0
109,2018-01-14 15:00:00,3.0,3.0,3.0
110,2018-01-14 18:00:00,3.0,3.0,3.0
111,2018-01-14 21:00:00,3.0,3.0,3.0
112,2018-01-15 00:00:00,3.0,3.0,3.0
113,2018-01-15 03:00:00,3.0,3.0,3.0
114,2018-01-15 06:00:00,3.0,3.0,3.0
115,2018-01-15 09:00:00,3.0,3.0,3.0
116,2018-01-15 12:00:00,3.0,3.0,3.0
117,2018-01-15 15:00:00,3.0,3.0,3.0
118,2018-01-15 18:00:00,3.0,3.0,3.0
119,2018-01-15 21:00:00,3.0,3.0,3.0
120,2018-01-16 00:00:00,3.0,3.0,3.0
121,2018-01-16 03:00:00,3.0,3.0,3.0
122,2018-01-16 06:00:00,3.0,3.0,3.0
123,2018-01-16 09:00:00,3.0,3.0,3.0
124,2018-01-16 12:00:00,3.0,3.0,3.0
125,2018-01-16 15:00:00,3.0,3.0,3.0
126,2018-01-16 18:00:00,3.0,3.0,3.0
127,2018-01-16 21:00:00,3.0,3.0,3.0
128,2018-01-17 00:00:00,3.0,3.0,3.0
129,2018-01-17 03:00:00,3.0,3.0,3.0
130,2018-01-17 06:00:00,3.0,3.0,3.0
131,2018-01-17 09:00:00,3.0,3.0,3.0
132,2018-01-17 12:00:00,3.0,3.0,3.0
133,2018-01-17 15:00:00,3.0,3.0,3.0
134,2018-01-17 18:00:00,3.0,3.0,3.0
135,2018-01-17 21:00:00,3.0,3.0,3.0
136,2018-01-18 00:00:00,3.0,3.0,3.0
137,2018-01-18 03:00:00,3.0,3.0,3.0
138,2018-01-18 06:00:00,3.0,3.0,3.0
139,2018-01-18 09:00:00,3.0,3.0,3.0
140,2018-01-18 12:00:00,3.0,3.0,3.0
141,2018-01-18 15:00:00,3.0,3.0,3.0
142,2018-01-18 18:00:00,3.0,3.0,3.0
143,2018-01-18 21:00:00,3.0,3.0,3.0
144,2018-01-19 00:00:00,3.0,3.0,3.0
145,2018-01-19 03:00:00,3.0,3.0,3.0
146,2018-01-19 06:00:00,3.0,3.0,3.0
147,2018-01-19 09:00:00,3.0,3.0,3.0
148,2018-01-19 12:00:00,3.0,3.0,3.0
149,2018-01-19 15:00:00,3.0,3.0,3.0
150,2018-01-19 18:00:00,3.0,3.0,3.0
151,2018-01-19 21:00:00,3.0,3.0,3.0
152,2018-01-20 00:00:00,3.0,3.0,3.0
153,2018-01-20 03:00:00,3.0,3.0,3.0
154,2018-01-20 06:00:00,3.0,3.0,3.0
155,2018-01-20 09:00:00,3.0,3.0,3.0
156,2018-01-20 12:00:00,3.0,3.0,3.0
157,2018-01-20 15:00:00,3.0,3.0,3.0
158,2018-01-20 18:00:00,3.0,3.0,3.0
159,2018-01-20 21:00:00,3.0,3.0,3.0
160,2018-01-21 00:00:00,3.0,3.0,3.0
161,2018-01-21 03:00:00,3.0,3.0,3.0
162,2018-01-21 06:00:00,3.0,3.0,3.0
163,2018-01-21 09:00:00,3.0,3.0,3.0
164,2018-01-21 12:00:00,3.0,3.0,3.0
165,2018-01-21 15:00:00,3.0,3.0,3.0
166,2018-01-21 18:00:00,3.0,3.0,3.0
167,2018-01-21 21:00:00,3.0,3.0,3.0
168,2018-01-22 00:00:00,3.0,3.0,3.0
169,2018-01-22 03:00:00,3.0,3.0,3.0
170,2018-01-22 06:00:00,3.0,3.0,3.0
171,2018-01-22 09:00:00,3.0,3.0,3.0
172,2018-01-22 12:00:00,3.0,3.0,3.0
173,2018-01-22 15:00:00,3.0,3.0,3.0
174,2018-01-22 18:00:00,3.0,3.0,3.0
175,2018-01-22 21:00:00,3.0,3.0,3.0
176,2018-01-23 00:00:00,3.0,3.0,3.0
177,2018-01-23 03:00:00,3.0,3.0,3.0
178,2018-01-23 06:00:00,3.0,3.0,3.0
179,2018-01-23 09:00:00,3.0,3.0,3.0
180,2018-01-23 12:00:00,3.0,3.0,3.0
181,2018-01-23 15:00:00,3.0,3.0,3.0
182,2018-01-23 18:00:00,3.0,3.0,3.0
183,2018-01-23 21:00:00,3.0,3.0,3.0
184,2018-01-24 00:00:00,3.0,3.0,3.0
185,2018-01-24 03:00:00,3.0,3.0,3.0
186,2018-01-24 06:00:00,3.0,3.0,3.0
187,2018-01-24 09:00:00,3.0,3.0,3.0
188,2018-01-24 12:00:00,3.0,3.0,3.0
189,2018-01-24 15:00:00,3.0,3.0,3.0
190,2018-01-24 18:00:00,3.0,3.0,3.0
191,2018-01-24 21:00:00,3.0,3.0,3.0
192,2018-01-25 00:00:00,3.0,3.0,3.0
193,2018-01-25 03:00:00,3.0,3.0,3.0
194,2018-01-25 06:00:00,3.0,3.0,3.0
195,2018-01-25 09:00:00,3.0,3.0,3.0
196,2018-01-25 12:00:00,3.0,3.0,3.0
197,2018-01-25 15:00:00,3.0,3.0,3.0
198,2018-01-25 18:00:00,3.0,3.0,3.0
199,2018-01-25 21:00:00,3.0,3.0,3.0
200,2018-01-26 00:00:00,3.0,3.0,3.0
201,2018-01-26 03:00:00,3.0,3.0,3.0
202,2018-01-26 06:00:00,3.0,3.0,3.0
203,2018-01-26 09:00:00,3.0,3.0,3.0
204,2018-01-26 12:00:00,3.0,3.0,3.0
205,2018-01-26 15:00:00,3.0,3.0,3.0
206,2018-01-26 18:00:00,3.0,3.0,3.0
207,2018-01-26 21:00:00,3.0,3.0,3.0
208,2018-01-27 00:00:00,3.0,3.0,3.0
209,2018-01-27 03:00:00,3.0,3.0,3.0
210,2018-01-27 06:00:00,3.0,3.0,3.0
211,2018-01-27 09:00:00,3.0,3.0,3.0
212,2018-01-27 12:00:00,3.0,3.0,3.0
213,2018-01-27 15:00:00,3.0,3.0,3.0
214,2018-01-27 18:00:00,3.0,3.0,3.0
215,2018-01-27 21:00:00,3.0,3.0,3.0
216,2018-01-28 00:00:00,3.0,3.0,3.0
217,2018-01-28 03:00:00,3.0,3.0,3.0
218,2018-01-28 06:00:00,3.0,3.0,3.0
219,2018-01-28 09:00:00,3.0,3.0,3.0
220,2018-01-28 12:00:00,3.0,3.0,3.0
221,2018-01-28 15:00:00,3.0,3.0,3.0
222,2018-01-28 18:00:00,3.0,3.0,3.0
223,2018-01-28 21:00:00,3.0,3.0,3.0
224,2018-01-29 00:00:00,3.0,3.0,3.0
225,2018-01-29 03:00:00,3.0,3.0,3.0
226,2018-01-29 06:00:00,3.0,3.0,3.0
227,2018-01-29 09:00:00,3.0,3.0,3.0
228,2018-01-29 12:00:00,3.0,3.0,3.0
229,2018-01-29 15:00:00,3.0,3.0,3.0
230,2018-01-29 18:00:00,3.0,3.0,3.0
231,2018-01-29 21:00:00,3.0,3.0,3.0
232,2018-01-30 00:00:00,3.0,3.0,3.0
233,2018-01-30 03:00:00,3.0,3.0,3.0
234,2018-01-30 06:00:00,3.0,3.0,3.0
235,2018-01-30 09:00:00,3.0,3.0,3.0
236,2018-01-30 12:00:00,3.0,3.0,3.0
237,2018-01-30 15:00:00,3.0,3.0,3.0
238,2018-01-30 18:00:00,3.0,3.0,3.0
239,2018-01-30 21:00:00,3.0,3.0,3.0
240,2018-01-31 00:00:00,3.0,3.0,3.0
241,2018-01-31 03:00:00,3.0,3.0,3.0
242,2018-01-31 06:00:00,3.0,3.0,3.0
243,2018-01-31 09:00:00,3.0,3.0,3.0
244,2018-01-31 12:00:00,3.0,3.0,3.0
245,2018-01-31 15:00:00,3.0,3.0,3.0
246,2018-01-31 18:00:00,3.0,3.0,3.0
247,2018-01-31 21:00:00,3.0,3.0,3.0
