t	AT	Balt	BE	DE	DK	Es	Fr	Nl	No	Se	Uk
t1627	0	0	0.004641378	0.04669791	0.102864936	0.12968785	0.14996623	0.10317318	0.08961833	0.05907784	0.03277199
t1628	0.001513331	0	0	0	0	0	0	0	0	0	0
t1629	0	0	0	0	0.009414933	0.097345896	0.19757879	0.28207183	0.31973255	0.29792094	0.24995083
t1630	0.1599328	0.06309608	0.002694975	0	0	0	0	0	0	0	0
t1631	0	0	0	0	0	0	0.006287258	0.0444436	0.08913408	0.11678572	0.12875205
t1632	0.13227735	0.12541805	0.08344857	0.034567576	0.001780908	0	0	0	0	0	0
t1633	0	0	0	0	0	0	0	0	0.007023513	0.062928274	0.13153431
t1634	0.17939754	0.23175798	0.2221052	0.19230507	0.11987815	0.054993823	0.003365416	0	0	0	0
t1635	0	0	0	0	0	0	0	0	0	0	0.008752015
t1636	0.06711998	0.14104798	0.18619823	0.23076998	0.24584244	0.20143656	0.13485245	0.06075795	0.00362372	0	0
t1637	0	0	0	0	0	0	0	0	0	0	0
t1638	0	0.006694255	0.053523634	0.13733561	0.21055654	0.27341503	0.28674555	0.2523983	0.17528966	0.077287026	0.005543778
t1639	0	0	0	0	0	0	0	0	0	0	0
t1640	0	0	0	0.017305287	0.12644759	0.25062382	0.34427515	0.39264002	0.3874142	0.3301436	0.22866099
t1641	0.101274796	0.007636406	0	0	0	0	0	0	0	0	0
t1642	0	0	0	0	0	0.018658979	0.1291239	0.25137678	0.34495145	0.3914075	0.38501585
t1643	0.32640433	0.22632997	0.101624206	0.008429639	0	0	0	0	0	0	0
t1644	0	0	0	0	0	0	0	0.012916587	0.06577621	0.13293403	0.19753063
t1645	0.24548946	0.2164305	0.160039	0.12054761	0.058035485	0.006210262	0	0	0	0	0
t1646	0	0	0	0	0	0	0	0	0	0.01496537	0.0913438
t1647	0.17698212	0.24355318	0.22990209	0.22327845	0.20601621	0.14796932	0.0826713	0.009588852	0	0	0
t1648	0	0	0	0	0	0	0	0	0	0	0
t1649	0.006248341	0.028300386	0.036426153	0.050123602	0.0554106	0.059381448	0.07566741	0.04429471	0.03310049	0.003936611	0
t1650	0	0	0	0	0	0	0	0	0	0	0
t1651	0	0	0.007949222	0.04146133	0.08292228	0.122478746	0.1337364	0.13354856	0.13484673	0.086540505	0.040211894
t1652	0.006240035	0	0	0	0	0	0	0	0	0	0
t1653	0	0	0	0	0.023118604	0.12276436	0.23780702	0.32815066	0.39076856	0.38245168	0.31555554
t1654	0.20951071	0.104149625	0.013830839	0	0	0	0	0	0	0	0
t1655	0	0	0	0	0	0	0.020489769	0.07834015	0.13152067	0.14854193	0.13785268
t1656	0.12760593	0.09516987	0.0662091	0.035097573	0.004003116	0	0	0	0	0	0
t1657	0	0	0	0	0	0	0	0	0.03181452	0.15407561	0.27782896
t1658	0.33712786	0.33391938	0.28894424	0.26141065	0.20713088	0.11394109	0.017313538	0	0	0	0
t1659	0	0	0	0	0	0	0	0	0	0	0.032694712
t1660	0.13500406	0.22637755	0.31200546	0.3585819	0.36121744	0.2973659	0.18967372	0.0883402	0.01455023	0	0
t1661	0	0	0	0	0	0	0	0	0	0	0
t1662	0	0.0397857	0.1695207	0.29944947	0.39428654	0.4388047	0.4284187	0.36999884	0.27411905	0.14364661	0.024723584
t1663	0	0	0	0	0	0	0	0	0	0	0
t1664	0	0	0	0.04097776	0.15904489	0.2682984	0.36817062	0.4202005	0.40756267	0.34558836	0.23002595
t1665	0.11681379	0.020311423	0	0	0	0	0	0	0	0	0
t1666	0	0	0	0	1.78E-05	0.027937958	0.1396705	0.23518652	0.34816444	0.39679652	0.4035564
t1667	0.3228072	0.25091773	0.13463962	0.02712162	0	0	0	0	0	0	0
t1668	0	0	0	0	0	0	5.22E-05	0.03394274	0.12634325	0.23591043	0.32124874
t1669	0.35517988	0.3411145	0.25964454	0.19111279	0.095877536	0.019163175	0	0	0	0	0
t1670	0	0	0	0	0	0	0	0	5.91E-05	0.021215232	0.10182966
t1671	0.19387901	0.27574903	0.32482842	0.32487944	0.2814833	0.21513227	0.1122776	0.023551524	0	0	0
t1672	0	0	0	0	0	0	0	0	0	0	0.000213258
t1673	0.050217696	0.17172523	0.27862817	0.3746035	0.43643406	0.4431149	0.3898466	0.29600853	0.16288191	0.03675672	0
t1674	0	0	0	0	0	0	0	0	0	0	0
t1675	0	0.000349219	0.058913875	0.19351326	0.3263209	0.4252269	0.47582817	0.47963405	0.4199389	0.31485793	0.1769001
t1676	0.041712105	4.22E-05	0	0	0	0	0	0	0	0	0
t1677	0	0	0	0.000434075	0.048612885	0.15350573	0.26519498	0.34081158	0.37382498	0.37584874	0.30893725
t1678	0.21548976	0.114622116	0.029468501	4.24E-05	0	0	0	0	0	0	0
t1679	0	0	0	0	0	0.000684545	0.055062905	0.17797966	0.29962867	0.38190347	0.39301422
t1680	0.3985778	0.32792595	0.21755743	0.12966113	0.036218423	7.95E-05	0	0	0	0	0
t1681	0	0	0	0	0	0	0	0.001028437	0.05989901	0.1773978	0.30868438
t1682	0.40352798	0.4519342	0.44536743	0.38027495	0.2758943	0.15493731	0.042560905	1.35E-04	0	0	0
t1683	0	0	0	0	0	0	0	0	0	0.00162769	0.07281004
t1684	0.21052995	0.33974674	0.4420432	0.49910715	0.49643534	0.43573907	0.32884273	0.18975489	0.05341237	0.000146486	0
t1685	0	0	0	0	0	0	0	0	0	0	0
t1686	0.002215189	0.0784218	0.21149302	0.32361847	0.41495496	0.44869873	0.4312137	0.37168586	0.2542432	0.14248069	0.039830636
t1687	0.00014837	0	0	0	0	0	0	0	0	0	0
t1688	0	0	0.002516063	0.0708975	0.20517571	0.32722035	0.42203584	0.48157966	0.48208222	0.40341693	0.30711663
t1689	0.162704	0.047435764	0.000287767	0	0	0	0	0	0	0	0
t1690	0	0	0	0	0.003649362	0.09186489	0.24118954	0.3701809	0.47437805	0.52338636	0.51900405
t1691	0.45825425	0.35092863	0.21001631	0.065448664	0.000473396	0	0	0	0	0	0
