t	AT	Balt	BE	DE	DK	Es	Fr	Nl	No	Se	Uk
t5268	1.67E-01	1.68E-01	1.78E-01	1.96E-01	2.16E-01	0.22775152	0.21811303	0.17006177	0.1492302	0.13552396	0.12456211
t5269	0.12620118	0.13222845	0.13933814	0.13769701	0.13048297	0.1347219	0.16229284	0.19245884	2.20E-01	2.39E-01	2.78E-01
t5270	2.77E-01	2.57E-01	2.44E-01	2.36E-01	2.06E-01	1.83E-01	1.69E-01	0.16189358	0.14936344	0.13308328	0.18687001
t5271	0.1384906	0.14634962	0.14110476	0.13361165	0.11528462	0.09868104	0.07386984	0.058915604	0.057875555	0.055389952	5.35E-02
t5272	4.75E-02	4.17E-02	4.16E-02	3.87E-02	3.70E-02	3.48E-02	3.12E-02	2.82E-02	2.71E-02	0.02700263	0.023854319
t5273	0.01686824	0.014146355	0.018767854	0.016243601	0.012484337	0.012003394	0.014226868	0.017588867	0.02252625	0.030662742	0.045912243
t5274	0.060147222	6.06E-02	6.06E-02	4.66E-02	4.74E-02	4.29E-02	4.23E-02	4.29E-02	4.07E-02	3.96E-02	3.57E-02
t5275	0.032988403	0.029247727	0.01826098	0.015346561	0.018527247	0.024748327	0.030266084	0.03189302	0.032016475	0.038084585	0.040858224
t5276	0.04061903	0.050305884	0.06432681	7.00E-02	6.85E-02	5.42E-02	5.38E-02	4.96E-02	4.80E-02	4.59E-02	4.19E-02
t5277	4.18E-02	4.17E-02	0.037744448	0.032817896	0.02891728	0.02549011	0.030115355	0.026796652	0.024288101	0.024653086	0.02478316
t5278	0.022910198	0.021620955	0.022653243	0.030367954	0.04275147	5.55E-02	6.43E-02	5.23E-02	6.02E-02	6.72E-02	6.69E-02
t5279	6.70E-02	6.88E-02	6.80E-02	6.60E-02	0.06453161	0.06472869	0.061351195	0.062802404	0.055625264	0.055220906	0.059745755
t5280	0.06061282	0.06154645	0.06519813	0.07935554	0.091277376	0.09497095	1.04E-01	1.14E-01	1.12E-01	1.02E-01	1.13E-01
t5281	1.30E-01	1.53E-01	1.78E-01	1.99E-01	2.21E-01	2.40E-01	0.25895125	0.27054203	0.29438642	0.3265507	0.27084476
t5282	0.28012636	0.29328683	0.2956236	0.2893762	0.28492817	0.28636917	0.29727757	0.32297802	3.28E-01	3.33E-01	3.20E-01
