t	AT	Balt	BE	DE	DK	Es	Fr	Nl	No	Se	Uk
t2660	0.16478944	0.091909684	0.024997128	0.000603233	0	0	0	0	0	0	0
t2661	0.008890886	0.07457131	0.18470663	0.3214067	0.46803033	0.59574807	0.6651661	0.6963177	0.68288714	0.64971644	0.5611139
t2662	0.44467396	0.32669085	0.20742413	0.09898944	0.026105927	0.000464842	0	0	0	0	0
t2663	0	0	0.00737068	0.057459757	0.14283381	0.24218144	0.34749514	0.46105027	0.5201227	0.5185752	0.4803572
t2664	0.42154866	0.35135582	0.29104596	0.21641617	0.13901505	0.06743298	0.018156135	0.000427856	0	0	0
t2665	0	0	0	1.58E-05	0.00537649	0.03440315	0.077118315	0.14918172	0.20197149	0.2667425	0.27433842
t2666	0.2881301	0.31343326	0.26462215	0.25184304	0.19578874	0.16197358	0.10545504	0.053972837	0.01607588	0.000762007	0
t2667	0	0	0	0	0	1.59E-05	0.00589077	0.038144205	0.086115085	0.13659349	0.1803947
t2668	0.21776487	0.23906194	0.2600083	0.2581662	0.22822669	0.19588135	0.15594038	0.10694507	0.06840507	0.034031585	0.008997135
t2669	0.000424554	0	0	0	0	0	0	3.40E-05	0.00304601	0.0157056	0.034368817
t2670	0.05036913	0.07771267	0.09980288	0.1172259	0.14044636	0.14254227	0.13779941	0.11592868	0.08999557	0.05966176	0.03655832
t2671	0.015867708	0.005590692	0.000207043	0	0	0	0	0	0	3.28E-05	0.002094831
t2672	0.012586932	0.028656876	0.049959473	0.07641235	0.08527314	0.116219506	0.13098185	0.1403988	0.13866203	0.11615586	0.09828898
t2673	0.06684883	0.038208336	0.018115021	0.006411	0.00017981	0	0	0	0	0	0
t2674	3.14E-05	0.002264754	0.013864416	0.031437498	0.06719408	0.102034196	0.13913482	0.17643546	0.20751293	0.22361739	0.2198056
t2675	0.18879114	0.15619983	0.124503836	0.07817338	0.041696325	0.011279249	0.000271569	0	0	0	0
t2676	0	0	5.64E-05	0.005167289	0.025897976	0.059876155	0.096626155	0.14385338	0.18091023	0.20032687	0.23597957
t2677	0.24841109	0.25955167	0.23116475	0.21986741	0.18250313	0.12612288	0.06459523	0.02062264	0.001165958	0	0
t2678	0	0	0	0	7.03E-05	0.007271471	0.052549217	0.13675874	0.21689531	0.31851658	0.37971804
t2679	0.3925527	0.43129298	0.4419317	0.3930664	0.36252213	0.33081564	0.27151975	0.19166872	0.109262966	0.034110118	0.001652104
t2680	0	0	0	0	0	0	0.000102341	0.011797854	0.06719791	0.1499227	0.24989736
t2681	0.34929574	0.4123304	0.47362715	0.51458	0.49537566	0.48914605	0.43398473	0.37982884	0.28999838	0.19669625	0.10494826
t2682	0.036305893	0.001729128	0	0	0	0	0	0	0.000115694	0.012022282	0.06671712
t2683	0.15683047	0.25441307	0.35550243	0.4532296	0.5011161	0.54903144	0.560062	0.5347362	0.50020397	0.41619423	0.31293526
t2684	0.22112307	0.12960817	0.041389566	0.002352808	0	0	0	0	0	0	0.000143578
t2685	0.007765348	0.043625243	0.101000376	0.16957365	0.23486236	0.277473	0.29832527	0.2627343	0.26904285	0.22088358	0.20905705
t2686	0.17302151	0.14604114	0.101869516	0.05776112	0.018927805	0.001253357	0	0	0	0	0
t2687	0	5.50E-05	0.005868013	0.03331847	0.0794325	0.14449859	0.22473332	0.29534656	0.38669652	0.43534482	0.45368913
t2688	0.44139943	0.4186713	0.3480107	0.30284563	0.19822825	0.10939789	0.03368673	0.002025394	0	0	0
t2689	0	0	0	8.18E-05	0.009911694	0.058728248	0.14030562	0.22821869	0.32944238	0.43633428	0.4928943
t2690	0.55361164	0.5474658	0.5285652	0.47338068	0.40861875	0.30853346	0.20803912	0.11140906	0.035868075	0.002219025	0
t2691	0	0	0	0	0	0.000188977	0.007856262	0.035762478	0.072537705	0.1283312	0.17990823
t2692	0.21240725	0.23524965	0.24587753	0.22325152	0.2131148	0.1949088	0.18217891	0.15718846	0.12291705	0.071345404	0.024939595
t2693	0.001511152	0	0	0	0	0	0	0.000139866	0.009148823	0.042036433	0.08815153
t2694	0.15177485	0.21206275	0.27590904	0.3277863	0.3687666	0.38591108	0.3467245	0.34136564	0.28291926	0.22237742	0.16286717
t2695	0.09027508	0.031642515	0.002642373	0	0	0	0	0	0	0.000187196	0.009883141
t2696	0.048930354	0.11188182	0.19371642	0.26516095	0.36873743	0.4326665	0.5050117	0.50558424	0.5316466	0.47325316	0.38569832
t2697	0.2973495	0.1965733	0.10809387	0.038631245	0.00300648	0	0	0	0	0	0
t2698	0.000220949	0.014698436	0.07792698	0.16962409	0.26734108	0.37379208	0.43461776	0.47471678	0.43528974	0.37805974	0.34050938
