	at	balt	be	de	dk	es	fr	nl	no	se	uk	CH	CZ	HU	IT	PL	SI
t6297	0.23839	0.12524	0.11377	0.0934	0.19359	0.13813	0.17261	0.11395	0.11003	0.11852	0.08042	0.487	0.509	0.541	0.486	0.419	0.517
t6298	0.30166	0.16823	0.19862	0.14889	0.29644	0.28216	0.28164	0.16154	0.14674	0.16808	0.16316	0.61	0.599	0.626	0.585	0.465	0.614
t6299	0.39313	0.21562	0.2387	0.20251	0.38806	0.41175	0.39255	0.1711	0.18042	0.19922	0.22756	0.673	0.632	0.666	0.628	0.48	0.664
t6300	0.43595	0.25478	0.27393	0.24592	0.4581	0.50166	0.42977	0.19225	0.18987	0.22178	0.2781	0.691	0.601	0.66	0.637	0.456	0.67
t6301	0.42779	0.27151	0.24159	0.24036	0.48021	0.57674	0.455	0.16683	0.17702	0.22243	0.32044	0.665	0.511	0.611	0.605	0.394	0.632
t6302	0.39502	0.2418	0.21953	0.24616	0.44259	0.5675	0.42942	0.20781	0.16257	0.19851	0.33933	0.593	0.376	0.516	0.527	0.303	0.549
t6303	0.33039	0.19749	0.17919	0.21531	0.38075	0.51299	0.38704	0.19774	0.13683	0.15251	0.31466	0.475	0.232	0.376	0.401	0.195	0.422
t6304	0.22216	0.13619	0.1527	0.16553	0.2737	0.43387	0.30793	0.19765	0.10434	0.10284	0.26916	0.314	0.117	0.204	0.244	0.089	0.257
t6305	0.11902	0.05307	0.10708	0.10127	0.15467	0.31141	0.22253	0.12894	0.06868	0.05117	0.17609	0.131	0.032	0.03	0.082	0.009	0.083
t6306	0.03181	0.00359	0.06461	0.03823	0.05605	0.19367	0.11109	0.06114	0.02662	0.0128	0.10615	0.006	0	0	0.001	0	0
t6307	0.00039	0	0.00865	0.00166	0.00266	0.07148	0.02216	0.00856	0.00229	0.00015	0.03602	0	0	0	0	0	0
t6308	0	0	0	0	0	0.00282	0.00014	0	0.00139	0	0.00115	0	0	0	0	0	0
t6309	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t6310	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
