	at	balt	be	de	dk	es	fr	nl	no	se	uk	CH	CZ	HU	IT	PL	SI
Sc2.t5850	0.095	0.040	0.148	0.082	0.098	0.306	0.193	0.125	0.069	0.069	0.158	0.005	0.005	0.001	0.001	0.002	0.003
Sc2.t5851	0.013	0.001	0.055	0.026	0.024	0.151	0.071	0.044	0.030	0.018	0.080	0.000	0.000	0.000	0.000	0.000	0.000
Sc2.t5852	0.000	0.000	0.003	0.000	0.000	0.027	0.006	0.002	0.006	0.000	0.020	0.000	0.000	0.000	0.000	0.000	0.000
Sc2.t5853	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.005	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
Sc2.t5854	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
Sc2.t5855	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
Sc2.t5856	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
Sc2.t5857	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
Sc2.t5858	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
Sc2.t5859	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.003	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
Sc2.t5860	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.008	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
Sc2.t5861	0.000	0.005	0.000	0.000	0.000	0.000	0.000	0.000	0.016	0.002	0.000	0.000	0.005	0.011	0.000	0.016	0.000
Sc2.t5862	0.010	0.056	0.000	0.004	0.004	0.000	0.000	0.000	0.028	0.019	0.000	0.006	0.072	0.097	0.018	0.089	0.034
Sc2.t5863	0.082	0.152	0.039	0.057	0.037	0.003	0.022	0.008	0.065	0.062	0.005	0.039	0.182	0.225	0.077	0.185	0.110
Sc2.t5864	0.178	0.196	0.159	0.149	0.083	0.074	0.099	0.027	0.113	0.118	0.035	0.085	0.293	0.355	0.159	0.279	0.207
Sc2.t5865	0.305	0.283	0.306	0.251	0.105	0.222	0.195	0.061	0.170	0.171	0.108	0.134	0.358	0.457	0.244	0.351	0.301
Sc2.t5866	0.433	0.327	0.443	0.359	0.119	0.379	0.293	0.106	0.206	0.227	0.218	0.179	0.386	0.526	0.314	0.393	0.381
Sc2.t5867	0.487	0.353	0.554	0.431	0.124	0.520	0.357	0.203	0.243	0.258	0.332	0.196	0.367	0.561	0.359	0.412	0.399
