	at	balt	be	de	dk	es	fr	nl	no	se	uk	CH	CZ	HU	IT	PL	SI
t1797	0.2633	0.00411	0.24774	0.11171	0.06955	0.18339	0.19897	0.10581	0.24689	0.14531	0.14067	0.06734	0.34975	0.28873	0.08823	0.41007	0.17658
t1798	0.27357	0.00442	0.26592	0.12053	0.06388	0.19885	0.21111	0.12603	0.23545	0.14401	0.14934	0.07127	0.35934	0.26829	0.07456	0.40494	0.19012
t1799	0.24664	0.00979	0.2681	0.1666	0.06677	0.21156	0.21519	0.14355	0.19458	0.15389	0.18237	0.06715	0.34111	0.24755	0.07474	0.39883	0.20751
t1800	0.22877	0.01446	0.23585	0.1666	0.06878	0.23202	0.22235	0.15041	0.20578	0.14424	0.15832	0.06085	0.30868	0.2235	0.07374	0.39037	0.21645
t1801	0.25915	0.01794	0.19945	0.17224	0.06218	0.23168	0.23913	0.15032	0.20367	0.13745	0.14976	0.05508	0.26789	0.18972	0.07385	0.37643	0.22559
t1802	0.31101	0.02542	0.16934	0.18577	0.06655	0.23301	0.2328	0.15725	0.20032	0.14411	0.1319	0.04877	0.22993	0.15734	0.07175	0.35645	0.22948
t1803	0.37119	0.03911	0.1405	0.20656	0.07038	0.24577	0.23802	0.16586	0.20447	0.14967	0.12272	0.04864	0.2112	0.13898	0.06857	0.3266	0.22545
t1804	0.41231	0.057	0.11297	0.22877	0.08993	0.27696	0.22942	0.16378	0.205	0.16043	0.11698	0.04938	0.21599	0.1389	0.06665	0.28072	0.23198
t1805	0.41672	0.07645	0.09986	0.24729	0.09388	0.31039	0.2269	0.17084	0.20964	0.16667	0.1093	0.05212	0.24212	0.15603	0.06813	0.23816	0.20869
t1806	0.34888	0.08915	0.08812	0.27016	0.10103	0.34442	0.21691	0.17747	0.21677	0.17269	0.10697	0.05658	0.26804	0.16706	0.07199	0.20024	0.19073
t1807	0.40738	0.09682	0.07808	0.28291	0.09728	0.31996	0.21492	0.1795	0.23047	0.17375	0.09961	0.0591	0.19441	0.11531	0.06806	0.13882	0.17297
t1808	0.51842	0.09726	0.06271	0.29639	0.08391	0.3161	0.21005	0.15462	0.23126	0.15973	0.08805	0.03841	0.15218	0.14236	0.06385	0.11559	0.25057
t1809	0.57558	0.11781	0.04286	0.28245	0.05212	0.35653	0.17225	0.10496	0.21571	0.13193	0.07267	0.01799	0.25228	0.14372	0.0574	0.1578	0.20035
t1810	0.52275	0.11937	0.0294	0.29038	0.05239	0.30883	0.09848	0.08067	0.20995	0.09836	0.05716	0.01382	0.28314	0.17405	0.04587	0.19609	0.16571
t1811	0.48754	0.13442	0.01682	0.25423	0.0508	0.23229	0.09478	0.05314	0.18416	0.13441	0.07374	0.01334	0.29272	0.16775	0.03839	0.23581	0.16445
t1812	0.4226	0.15204	0.02004	0.27706	0.04777	0.22391	0.10638	0.0576	0.17423	0.15308	0.06348	0.01654	0.28236	0.14862	0.03494	0.26135	0.14842
t1813	0.43004	0.19064	0.02681	0.30936	0.04271	0.22342	0.12205	0.06869	0.15508	0.15762	0.07455	0.02096	0.26293	0.13112	0.03421	0.26755	0.13654
t1814	0.50642	0.23707	0.03771	0.33139	0.03754	0.24223	0.14121	0.07481	0.13288	0.14592	0.06698	0.02347	0.25296	0.11845	0.03623	0.25232	0.12802
t1815	0.5269	0.24969	0.04621	0.37755	0.03638	0.23511	0.16396	0.06743	0.119	0.1384	0.05903	0.023	0.24248	0.11177	0.04092	0.21376	0.12931
t1816	0.5454	0.23006	0.04879	0.39394	0.04252	0.26827	0.18651	0.05907	0.11184	0.10683	0.04682	0.0227	0.19571	0.10912	0.04516	0.1896	0.11161
t1817	0.54682	0.22353	0.04406	0.41474	0.04765	0.30596	0.17456	0.04544	0.11345	0.10825	0.03504	0.02345	0.23687	0.12741	0.05227	0.20688	0.10817
t1818	0.56976	0.22993	0.058	0.43747	0.0725	0.29623	0.18414	0.02931	0.12801	0.14117	0.0301	0.02439	0.32298	0.14704	0.06016	0.23711	0.14687
