	at	balt	be	de	dk	es	fr	nl	no	se	uk	CH	CZ	HU	IT	PL	SI
t7911	0.09616	0.00797	0.12721	0.07612	0.05606	0.36734	0.15983	0.1349	0.02219	0.01096	0.08534	0.325	0.005	0.108	0.198	0.001	0.233
t7912	0.03262	0.00005	0.06362	0.02839	0.01366	0.27855	0.09579	0.06375	0.00353	0.001	0.04515	0.086	0	0	0.037	0	0.005
t7913	0.00098	0	0.00976	0.0013	0	0.15512	0.02874	0.00514	0	0	0.0108	0	0	0	0	0	0
t7914	0	0	0	0	0	0.03503	0.00127	0	0	0	0.0004	0	0	0	0	0	0
t7915	0	0	0	0	0	0.00015	0	0	0	0	0	0	0	0	0	0	0
t7916	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t7917	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t7918	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t7919	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t7920	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t7921	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
